gene_name,TM_PC,TM_D14,TM_D21,TM_D28,TM_D42_D14P1
JAK1,3751,11831,18215,6853,4574
BMP1,11122,10006,14355,5810,5193
NONO,4865,10187,14253,4493,3524
PMP22,1999,9294,18435,7331,8109
LMAN1,7028,9395,11935,4251,3123
COL15A1,7379,15011,18288,8767,5419
STT3B,5482,11567,18845,6440,4172
LOC100688321,2099,12197,15513,6257,4260
EMILIN2,5007,13060,22723,10380,5733
SOGA1,5738,12564,15548,5057,3867
CTDSP2,3426,10268,17891,6695,6387
MYOF,2378,15453,21220,6658,4644
SDHA,8359,5757,9831,3422,3465
YWHAG,5060,10749,14958,5727,3255
ARHGEF12,6260,12605,16143,5744,3696
YWHAQ,4063,11264,18615,5246,4656
MAGED1,6798,10344,12856,5162,4885
GNB2,6729,9900,16324,5183,5203
SLC38A10,7646,8861,16455,6935,5209
FNDC3B,4861,12914,16173,6452,6250
EID1,6964,9533,15333,5540,4245
YAP1,2583,5749,8802,3516,2786
VCL,4550,14972,19521,6314,5797
SLC38A2,3146,11671,15597,4755,4488
H19,495,4117,11096,1464,0
GFPT1,6369,7630,9767,3747,2720
LIMS1,2981,10105,14130,5292,3700
LOC111089962,42,642,1190,425,101
PHLDB1,3676,14564,17814,7369,7240
COL8A2,14040,4955,8656,5670,5297
SEC31A,4803,12598,15925,6682,5511
SLC38A5,42,12293,16937,7665,6124
TGFBR3,951,10711,18140,8106,7747
IARS1,2417,10891,17423,6155,4514
COPB2,4519,10962,14339,6486,4070
SON,4408,12486,16237,5386,3908
LASP1,3661,11154,17525,6455,5189
YWHAB,6072,10207,15382,4976,4631
CTNNA1,3327,11626,17287,5388,4009
TNS2,4236,10567,20297,7220,6209
PYCR1,5095,12076,17199,6769,5764
PMEPA1,6169,11298,12093,5811,8242
CTSA,6727,10054,17186,4026,2704
PRKCSH,6121,8727,16919,6404,3850
TMSB4X,3188,10777,17755,4409,2513
TMEM248,4752,8395,11785,4771,3256
PLEKHM2,3269,11191,20255,6426,4363
G3BP1,3212,11666,14775,5177,3584
CPE,25467,4822,9719,4241,2323
HSPA9,2230,11889,14747,5406,3738
ATP8B2,2850,12368,18271,7281,6482
PFKP,4920,11411,16945,6078,6873
SERP1,5366,10309,13843,5203,3175
ARPC5,4362,12148,16353,5372,4343
SSR2,9692,7782,15382,5655,4178
PRKAR1A,4460,9389,14644,4862,4354
LOC607207,5226,11854,17327,6615,5893
HMGCS1,2653,9137,12339,2750,8161
SYNCRIP,4787,12226,12852,3952,2878
EEF1B2,2141,9638,15845,7300,4919
RCN3,15986,7264,11644,3927,3494
RNH1,2557,11402,19482,6845,6113
RPL27,4836,7672,13086,5635,3821
HYOU1,3179,12125,16008,5823,4127
CNBP,4571,10708,14918,5187,4124
FAT4,9142,12762,17164,4617,3719
ANO6,1735,14513,18802,5352,3922
MYBBP1A,3020,7327,9718,3092,2643
PYGB,7176,12105,17190,5756,5217
PDGFRA,15927,10548,12752,4423,3069
ASAH1,1040,9935,18790,4686,2807
NAP1L1,3885,11460,17366,4926,3397
PGD,3011,10485,18458,5717,6340
FLNC,2097,18434,16271,6092,3067
ATL3,2408,11689,15079,5455,4657
CCNG1,1091,9232,19570,7206,3849
STT3A,8639,10380,15812,6489,4749
HAPLN1,27276,1063,2997,479,592
LOC475399,3129,9667,13357,4940,3736
DDB1,3046,9770,13230,4606,3531
SNRNP200,3757,12024,13078,4828,3514
ACKR3,933,9181,18063,9857,10882
PTBP1,3996,9308,15049,4228,3379
POGLUT3,2716,12964,20803,8979,5885
CYB5R3,3781,12114,17734,7294,7487
EPRS1,2381,15430,15136,6046,3697
PNP,3849,8409,13735,4921,5328
NACA,4045,9330,14443,5868,3696
LARP1,3514,9721,12516,4486,3413
CD276,5326,10661,19559,5875,3608
ATP11B,4588,5764,9492,2481,1981
RPL23,4697,8057,13000,5318,3809
COL18A1,9545,10712,13794,8082,3274
STAT3,4944,9908,14276,6137,3179
LTBP1,3043,11306,13676,3819,5095
MYL6,3679,9067,14849,5910,5561
CDH11,6095,8109,13858,7170,4660
MAP1A,2073,17717,17111,6147,4976
ATP6V0C,4094,9700,17356,4237,3932
